income,property_value,loan_amount,interest_rate,black_high_density,black_vhigh_density,race_Black,race_Joint,race_Multiracial,race_Native American,race_Pacific Islander,race_Unknown,race_White,cd_High (101-200),cd_Low (1-50),cd_Medium (51-100),cd_Very High (>200)
96.0,445000.0,415000.0,6.475,False,False,False,False,False,False,False,True,False,False,False,False,False
100.0,325000.0,285000.0,6.875,False,False,False,False,False,False,False,False,True,False,False,False,False
48.0,205000.0,195000.0,6.75,False,False,False,False,False,True,False,False,False,False,False,False,False
113.0,265000.0,255000.0,6.375,False,False,True,False,False,False,False,False,False,False,True,False,False
97.0,355000.0,345000.0,7.625,False,False,True,False,False,False,False,False,False,False,False,False,False
96.0,475000.0,345000.0,10.95,False,False,False,False,False,False,False,True,False,False,False,False,True
96.0,345000.0,335000.0,6.75,False,False,False,False,False,False,False,False,True,False,False,False,False
85.0,235000.0,225000.0,6.625,False,False,True,False,False,False,False,False,False,False,False,False,False
78.0,405000.0,325000.0,6.375,False,False,False,False,False,False,False,False,True,False,False,False,False
52.0,105000.0,15000.0,0.0,False,False,False,False,False,False,False,False,True,False,False,False,False
168.0,495000.0,475000.0,7.125,False,False,False,False,False,False,False,True,False,False,False,False,False
66.0,295000.0,285000.0,6.5,False,False,False,False,False,False,False,False,True,False,False,False,False
76.0,285000.0,285000.0,6.75,False,False,False,False,False,False,False,False,True,False,False,False,False
119.0,345000.0,325000.0,6.125,False,False,False,False,False,False,False,False,True,False,False,False,False
72.0,265000.0,255000.0,6.625,False,False,False,False,False,False,False,False,True,False,False,False,False
96.0,305000.0,245000.0,5.5,False,False,False,False,False,False,False,True,False,False,False,False,False
76.0,255000.0,245000.0,6.25,False,False,False,True,False,False,False,False,False,False,False,False,False
96.0,325000.0,315000.0,6.625,False,False,False,False,False,False,False,True,False,False,False,False,False
55.0,625000.0,565000.0,5.5,False,False,True,False,False,False,False,False,False,False,False,False,False
70.0,195000.0,175000.0,6.625,False,False,False,False,False,False,False,False,True,False,False,False,False
86.0,255000.0,15000.0,7.375,False,False,False,False,False,False,False,False,True,False,False,False,False
258.0,475000.0,375000.0,6.625,False,False,False,False,False,False,False,False,True,False,False,False,False
66.0,315000.0,285000.0,6.875,False,False,True,False,False,False,False,False,False,False,False,False,False
57.0,295000.0,275000.0,5.875,False,False,False,False,False,False,False,False,True,False,False,False,False
96.0,285000.0,265000.0,6.625,False,False,False,False,False,False,False,True,False,False,False,False,False
120.0,315000.0,245000.0,7.375,False,False,False,False,False,False,False,False,True,False,False,False,False
90.0,255000.0,235000.0,6.8,False,False,False,False,False,False,False,True,False,False,False,False,False
164.0,745000.0,555000.0,6.95,False,False,False,False,False,False,False,False,True,False,False,False,False
65.0,205000.0,195000.0,6.625,False,False,False,False,False,False,False,False,True,False,False,False,False
105.0,335000.0,325000.0,5.25,False,False,False,False,False,False,False,False,True,False,True,False,False
52.0,175000.0,165000.0,6.5,False,False,False,False,False,False,False,False,True,False,False,False,False
96.0,1855000.0,1485000.0,5.75,False,False,False,False,False,False,False,True,False,False,False,False,False
96.0,805000.0,215000.0,6.875,False,False,False,False,False,False,False,True,False,False,False,False,False
96.0,385000.0,225000.0,6.375,False,False,False,False,False,False,False,True,False,False,False,False,False
86.0,365000.0,355000.0,5.75,False,False,False,False,False,False,False,False,True,False,False,False,False
63.0,245000.0,235000.0,6.875,False,False,False,False,False,False,False,False,True,False,False,False,False
114.0,275000.0,265000.0,6.5,False,False,False,False,False,False,False,True,False,False,False,False,False
96.0,295000.0,295000.0,7.25,False,False,False,False,False,False,False,True,False,False,False,False,False
206.0,435000.0,365000.0,7.0,False,False,False,False,False,False,False,False,True,False,False,False,False
158.0,515000.0,515000.0,6.25,False,False,False,True,False,False,False,False,False,False,False,False,False
48.0,165000.0,135000.0,7.75,False,False,False,False,False,False,False,False,True,False,False,False,False
85.0,255000.0,255000.0,6.125,False,False,False,False,False,False,False,False,True,False,False,False,False
74.0,335000.0,285000.0,6.125,False,False,False,False,False,False,False,False,True,False,False,False,False
87.0,345000.0,275000.0,5.875,False,False,False,False,False,False,False,False,True,False,False,False,False
68.0,245000.0,245000.0,6.625,False,False,False,False,False,False,False,False,True,False,False,False,False
174.0,825000.0,665000.0,5.999,False,False,False,False,False,False,False,False,True,False,False,False,False
96.0,425000.0,365000.0,6.375,False,False,False,False,False,False,False,False,True,False,False,False,False
109.0,255000.0,175000.0,6.625,False,False,False,False,False,False,False,False,True,False,False,False,False
96.0,625000.0,495000.0,7.375,False,False,False,False,False,False,False,True,False,False,False,False,False
86.0,355000.0,265000.0,6.75,False,False,False,False,False,False,False,False,True,False,False,False,False
168.0,395000.0,235000.0,3.875,False,False,False,False,False,False,False,False,True,False,False,False,False
81.0,305000.0,285000.0,6.625,False,False,False,False,False,False,False,True,False,False,False,False,False
65.0,245000.0,235000.0,7.0,False,False,False,False,False,False,False,True,False,False,False,False,False
243.0,1155000.0,925000.0,5.75,False,False,False,False,False,False,False,True,False,False,False,False,False
50.0,245000.0,185000.0,6.99,False,False,False,False,False,False,False,False,True,False,False,False,False
96.0,345000.0,345000.0,7.125,False,False,False,False,False,False,False,True,False,False,False,False,False
66.0,295000.0,295000.0,5.625,False,False,False,False,False,False,False,False,False,False,False,False,False
80.0,285000.0,195000.0,6.625,False,False,False,False,False,False,False,False,True,False,False,False,False
42.0,145000.0,135000.0,6.875,False,False,False,False,False,False,False,False,True,False,False,False,False
150.0,245000.0,225000.0,7.125,False,False,False,False,False,False,False,False,True,False,False,False,False
70.0,245000.0,195000.0,6.625,False,False,True,False,False,False,False,False,False,False,False,False,False
96.0,255000.0,255000.0,6.75,False,False,False,False,False,False,False,True,False,False,False,False,False
250.0,475000.0,375000.0,5.625,False,False,False,False,False,False,False,True,False,False,False,False,False
94.0,425000.0,345000.0,6.0,False,False,False,False,False,False,False,False,True,False,False,False,False
74.0,265000.0,255000.0,5.998,False,False,False,False,False,False,False,False,True,False,False,False,False
91.0,105000.0,95000.0,6.75,False,False,False,False,False,False,False,False,True,False,False,False,False
127.0,395000.0,385000.0,6.75,False,False,False,False,False,False,False,False,False,False,False,False,False
84.0,365000.0,355000.0,6.875,False,False,False,False,False,False,False,True,False,False,False,False,False
127.0,505000.0,485000.0,5.25,False,False,False,False,False,False,False,False,True,False,False,False,False
96.0,445000.0,335000.0,8.25,False,False,False,False,False,False,False,True,False,False,False,False,False
180.0,545000.0,125000.0,8.35,False,False,False,False,False,False,False,False,True,False,False,False,False
44.0,235000.0,185000.0,6.75,False,False,False,False,False,False,False,False,True,False,False,False,False
77.0,405000.0,385000.0,5.25,False,False,False,False,False,False,False,False,False,False,False,False,False
73.0,95000.0,75000.0,7.625,False,False,False,False,False,False,False,True,False,False,False,False,False
86.0,275000.0,165000.0,6.968,False,False,False,False,False,False,False,True,False,False,False,False,False
79.0,285000.0,275000.0,6.75,False,False,True,False,False,False,False,False,False,False,False,False,False
96.0,345000.0,325000.0,4.25,False,False,False,False,False,False,False,True,False,False,False,False,False
96.0,335000.0,295000.0,7.325,False,False,False,False,False,False,False,True,False,False,False,False,False
81.0,335000.0,295000.0,6.49,False,False,False,False,False,False,False,False,True,False,False,False,False
96.0,405000.0,205000.0,6.25,False,False,False,False,False,False,False,True,False,False,False,False,False
54.0,255000.0,245000.0,6.25,False,False,False,False,False,False,False,False,False,False,False,False,False
150.0,245000.0,235000.0,6.875,False,False,False,False,False,False,False,False,True,False,False,False,False
60.0,285000.0,295000.0,6.573,False,False,False,False,False,False,False,False,True,False,False,False,False
96.0,215000.0,215000.0,6.625,False,False,False,False,False,False,False,True,False,False,False,False,False
43.0,135000.0,135000.0,6.25,False,False,False,False,False,False,False,False,True,False,False,False,False
177.0,475000.0,455000.0,6.875,False,False,False,False,False,False,False,False,True,False,False,False,False
96.0,305000.0,285000.0,7.49,False,False,False,False,False,False,False,True,False,False,False,False,False
96.0,305000.0,255000.0,6.5,False,False,False,False,False,False,False,True,False,False,False,False,False
96.0,895000.0,625000.0,5.0,False,False,False,False,False,False,False,True,False,False,False,False,False
96.0,385000.0,375000.0,6.875,False,False,False,False,False,False,False,False,True,False,False,False,False
46.0,155000.0,145000.0,7.25,False,False,False,False,False,False,False,False,True,False,False,False,False
96.0,405000.0,285000.0,7.375,False,False,False,False,False,False,False,True,False,False,False,False,False
101.0,285000.0,145000.0,6.5,False,False,False,False,False,False,False,False,True,False,False,False,False
197.0,365000.0,355000.0,5.875,False,False,False,False,False,False,False,False,True,False,False,False,False
397.0,915000.0,725000.0,7.25,False,False,False,False,False,False,False,False,True,False,False,False,False
94.0,245000.0,175000.0,6.625,False,False,False,False,False,False,False,False,True,False,False,False,False
44.0,175000.0,145000.0,6.25,False,False,False,False,False,False,False,False,True,False,False,False,False
96.0,185000.0,185000.0,6.625,False,False,False,False,False,False,False,True,False,False,False,False,False
102.0,325000.0,265000.0,7.0,False,False,False,False,False,False,False,False,True,False,False,False,False
52.0,155000.0,5000.0,10.25,False,False,False,False,False,False,False,False,True,False,False,False,False
96.0,1605000.0,1125000.0,2.625,False,False,False,False,False,False,False,True,False,False,False,False,False
96.0,845000.0,675000.0,4.75,False,False,False,False,False,False,False,True,False,False,False,False,False
96.0,355000.0,315000.0,5.25,False,False,False,False,False,False,False,False,True,False,False,False,False
96.0,385000.0,365000.0,7.75,False,False,False,False,False,False,False,True,False,False,False,False,False
606.0,345000.0,255000.0,7.5,False,False,False,False,False,False,False,False,False,False,False,False,False
82.0,285000.0,275000.0,6.375,False,False,False,False,False,False,False,False,True,False,False,False,False
238.0,475000.0,445000.0,4.75,False,False,False,False,False,False,False,True,False,False,False,False,False
96.0,475000.0,445000.0,7.375,False,False,False,False,False,False,False,True,False,False,False,False,False
160.0,635000.0,375000.0,6.499,False,False,False,False,False,False,False,True,False,False,False,False,False
134.0,355000.0,335000.0,6.25,False,False,False,False,False,False,False,False,True,False,False,False,False
120.0,215000.0,155000.0,7.0,False,False,False,False,False,False,False,False,True,False,False,False,False
193.0,485000.0,445000.0,7.625,False,False,False,False,False,False,False,False,True,False,False,False,False
439.0,1175000.0,1055000.0,6.75,False,False,False,False,False,False,False,True,False,False,False,False,False
49.0,75000.0,65000.0,11.75,False,False,False,False,False,False,False,True,False,False,False,False,False
76.0,365000.0,325000.0,6.625,False,False,False,False,False,False,False,False,True,False,False,False,False
71.0,245000.0,235000.0,7.25,False,False,False,False,False,False,False,False,True,False,False,False,False
180.0,485000.0,435000.0,5.875,False,False,False,False,False,False,False,False,True,False,False,False,False
122.0,525000.0,475000.0,7.125,False,False,False,False,False,False,False,False,True,False,False,False,False
