income,property_value,loan_amount,interest_rate,race_Black,race_Joint,race_Multiracial,race_Native American,race_Pacific Islander,race_Unknown,race_White,covenant_count
81.0,325000.0,315000.0,6.25,False,False,False,False,False,False,True,0.0
52.0,265000.0,205000.0,7.125,False,False,False,False,False,False,True,0.0
154.0,485000.0,385000.0,6.625,False,True,False,False,False,False,False,212.0
48.0,255000.0,185000.0,6.325,False,False,False,False,False,False,True,0.0
38.0,255000.0,125000.0,5.99,False,False,False,False,False,True,False,0.0
162.0,345000.0,305000.0,8.125,False,True,False,False,False,False,False,0.0
71.0,205000.0,195000.0,8.0,False,False,False,False,False,False,True,0.0
76.0,285000.0,225000.0,6.99,False,False,False,False,False,False,True,0.0
74.0,405000.0,345000.0,7.375,False,False,False,False,False,False,True,0.0
116.0,515000.0,335000.0,5.75,True,False,False,False,False,False,False,0.0
69.0,295000.0,275000.0,7.125,False,False,False,False,False,True,False,0.0
160.0,335000.0,315000.0,7.5,False,False,False,False,False,False,True,9.0
54.0,295000.0,225000.0,5.75,False,False,False,False,False,False,True,0.0
96.0,745000.0,675000.0,4.75,False,False,False,False,False,True,False,0.0
173.0,395000.0,375000.0,7.125,False,False,False,False,False,False,True,0.0
93.0,375000.0,365000.0,6.875,False,False,False,False,False,False,True,315.0
55.0,275000.0,235000.0,5.99,False,False,False,False,False,False,True,0.0
87.0,285000.0,275000.0,7.0,False,False,False,False,False,False,True,0.0
102.0,285000.0,275000.0,6.75,False,False,False,False,False,False,True,0.0
96.0,1205000.0,965000.0,6.875,False,False,False,False,False,True,False,0.0
58.0,175000.0,155000.0,6.625,False,False,False,False,False,False,True,0.0
31.0,245000.0,135000.0,4.75,False,False,False,False,False,True,False,0.0
700.0,855000.0,595000.0,5.999,True,False,False,False,False,False,False,0.0
111.0,355000.0,285000.0,6.875,False,False,False,False,False,False,True,0.0
131.0,525000.0,415000.0,4.5,False,False,False,False,False,True,False,0.0
56.0,225000.0,225000.0,7.75,False,False,False,False,False,False,True,0.0
58.0,255000.0,245000.0,5.99,False,False,False,False,False,False,True,0.0
75.0,315000.0,305000.0,6.99,False,False,False,False,False,True,False,0.0
68.0,155000.0,135000.0,8.34,False,False,False,False,False,False,True,0.0
96.0,305000.0,295000.0,6.375,False,False,False,False,False,True,False,0.0
72.0,225000.0,185000.0,6.99,False,False,False,False,False,False,True,68.0
59.0,215000.0,215000.0,6.875,False,False,False,False,False,True,False,0.0
66.0,235000.0,225000.0,7.125,False,False,False,False,False,False,True,0.0
160.0,475000.0,465000.0,4.99,False,False,False,False,False,True,False,0.0
34.0,135000.0,115000.0,7.125,False,False,False,False,False,False,True,0.0
58.0,175000.0,175000.0,7.0,False,False,False,False,False,False,True,0.0
47.0,175000.0,135000.0,7.25,False,False,False,False,False,False,True,0.0
52.0,35000.0,25000.0,11.6,False,False,False,False,False,False,True,0.0
96.0,275000.0,275000.0,6.5,False,False,False,False,False,True,False,0.0
79.0,275000.0,245000.0,5.99,False,False,False,False,False,False,True,0.0
109.0,545000.0,295000.0,6.625,False,False,False,False,False,False,True,0.0
96.0,405000.0,365000.0,6.99,False,False,False,False,False,True,False,0.0
96.0,155000.0,125000.0,6.875,False,False,False,False,False,True,False,0.0
71.0,285000.0,15000.0,0.0,False,False,False,False,False,False,False,0.0
117.0,385000.0,375000.0,6.125,False,False,False,False,False,False,True,10.0
64.0,395000.0,195000.0,7.99,False,False,False,False,False,False,False,0.0
250.0,595000.0,535000.0,7.49,False,False,False,False,False,True,False,0.0
137.0,655000.0,525000.0,5.875,False,False,False,False,False,False,True,0.0
110.0,215000.0,205000.0,7.125,False,False,False,False,False,False,True,0.0
121.0,425000.0,345000.0,7.625,False,False,False,False,False,False,True,0.0
96.0,325000.0,245000.0,7.125,False,False,False,False,False,True,False,0.0
195.0,295000.0,295000.0,7.375,False,False,False,False,False,True,False,0.0
96.0,195000.0,185000.0,4.5,False,False,False,False,False,True,False,0.0
46.0,155000.0,145000.0,6.0,False,False,False,False,False,True,False,0.0
89.0,325000.0,305000.0,6.625,False,False,False,False,False,True,False,128.0
92.0,305000.0,295000.0,6.375,False,False,False,False,False,True,False,0.0
312.0,1555000.0,725000.0,5.99,False,False,False,False,False,False,False,0.0
73.0,275000.0,265000.0,6.875,False,False,False,False,False,False,True,0.0
184.0,785000.0,625000.0,6.375,False,False,False,False,False,True,False,0.0
87.0,285000.0,275000.0,6.25,True,False,False,False,False,False,False,0.0
134.0,245000.0,185000.0,6.125,False,False,False,False,False,False,True,29.0
63.0,215000.0,185000.0,6.625,False,False,False,False,False,False,True,0.0
285.0,335000.0,205000.0,6.375,False,False,False,False,False,False,True,0.0
136.0,235000.0,175000.0,6.375,False,False,False,False,False,False,True,0.0
93.0,375000.0,355000.0,6.125,False,False,False,False,False,False,True,0.0
86.0,235000.0,15000.0,7.25,False,False,False,False,False,False,True,0.0
